City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,carolina beach,34.0352,-77.8936,29.03000000000003,72,0,2.58,US,1698595961
192,mount gambier,-37.8333,140.7667,10.590000000000032,87,100,4.53,AU,1698595961
193,tralee,52.2704,-9.7026,10.140000000000043,93,20,0.51,IE,1698595962
194,ciudad melchor muzquiz,27.8833,-101.5167,24.470000000000027,73,16,2.29,MX,1698595962
195,kaitong,44.8135,123.15,11.160000000000025,69,41,2.14,CN,1698595963
196,chipata,-13.6333,32.65,28.439999999999998,32,74,3.03,ZM,1698595964
197,san julian,21.0167,-102.1667,20.32000000000005,52,15,1.67,MX,1698595964
198,usogorsk,63.4106,48.6872,-3.519999999999982,83,100,3.29,RU,1698595965
199,polyarnyy,69.1989,33.4478,-6.67999999999995,89,100,1.31,RU,1698595965
200,codrington,-38.2667,141.9667,10.189999999999998,86,100,6.03,AU,1698595966
201,ulladulla,-35.35,150.4667,15.170000000000016,48,54,3.6,AU,1698595966
202,callao,-12.0667,-77.15,21.160000000000025,73,75,8.23,PE,1698595967
203,tukrah,32.5341,20.5791,23.010000000000048,72,6,4.49,LY,1698595967
204,galle,6.0367,80.217,25.620000000000005,86,64,2.36,LK,1698595967
205,san antonio de pale,-1.4014,5.6325,26.5,81,33,3.33,GQ,1698595968
206,viitasaari,63.0667,25.8667,-2.859999999999957,87,96,3.24,FI,1698595968
207,jamestown,42.097,-79.2353,7.770000000000039,97,100,3.6,US,1698595777
208,barranca,-10.75,-77.7667,21.53000000000003,75,100,5.26,PE,1698595969
209,mount isa,-20.7333,139.5,21.870000000000005,56,91,1.03,AU,1698595970
210,papatowai,-46.5619,169.4708,6.25,91,99,2.28,NZ,1698595970
211,senanga,-16.1167,23.2667,27.910000000000025,39,83,1.7,ZM,1698595971
212,pemba,-12.974,40.5178,27.390000000000043,83,20,4.63,MZ,1698595971
213,creel,27.75,-107.6333,14.910000000000025,23,0,2.5,MX,1698595972
214,denov,38.2667,67.9,22.27000000000004,28,80,0.77,UZ,1698595972
215,port alfred,-33.5906,26.891,16.210000000000036,67,77,1.34,ZA,1698595973
216,minas de marcona,-15.2119,-75.1103,20.700000000000045,60,88,7.18,PE,1698595751
217,huron,41.1501,-82.5499,10.700000000000045,93,100,4.1,US,1698595973
218,pingliang,35.5392,106.6861,12.520000000000039,59,10,2.1,CN,1698595974
219,kone,-21.0595,164.8658,18.74000000000001,74,38,2.21,NC,1698595975
220,zeya,53.75,127.2667,1.9399999999999977,56,100,1.1,RU,1698595975
221,vennesla,58.2694,7.9741,2.930000000000007,83,75,11.32,NO,1698595976
222,sao joao da barra,-21.6403,-41.0511,32.05000000000001,76,100,8.47,BR,1698595976
223,redcliff,-19.0333,29.7833,27.840000000000032,37,86,7.1,ZW,1698595976
224,youhao,47.8667,128.8333,2.730000000000018,59,81,1.57,CN,1698595977
225,tamanrasset,22.785,5.5228,29.950000000000045,13,40,1.54,DZ,1698595978
226,karratha,-20.7377,116.8463,27.450000000000045,70,100,5.53,AU,1698595978
